transaction_id,user_id,timestamp,amount,merchant_category,is_international,distance_from_home_km,card_present,transactions_last_1h,transactions_last_24h,amount_vs_user_avg,hour_of_day,failed_attempts,device_match,is_fraud
e6bf1e92-6743-42,534,2025-12-01 20:46:46,125.24,clothing,0,28.93,1,1,1,0.918,20,0,1,0
a0ea3b47-780f-47,150,2025-12-01 20:55:19,67.48,healthcare,0,23.14,1,1,1,1.077,20,0,0,0
b0d87b56-cc8e-42,517,2025-12-01 21:08:21,26.55,grocery,0,20.16,1,1,1,0.718,21,0,0,0
74e05130-1502-4f,972,2025-12-01 21:19:10,16.34,entertainment,0,31.18,1,1,1,0.592,21,0,1,0
a3d6fb37-e697-47,354,2025-12-01 21:35:15,605.01,entertainment,0,9.89,1,1,1,1.737,21,0,1,0
55811407-b8cc-42,378,2025-12-01 21:44:09,106.99,grocery,0,16.82,1,1,1,0.238,21,0,1,0
91c97b13-cfa3-48,912,2025-12-01 22:04:25,604.25,gas_station,0,27.97,1,1,1,1.248,22,0,1,0
5741eaaf-037d-4e,119,2025-12-01 22:16:09,375.75,healthcare,0,25.83,1,1,1,1.023,22,0,1,0
a43f46e1-c836-42,441,2025-12-01 22:26:36,21.21,restaurant,0,22.37,1,1,1,0.189,22,0,1,0
6e2c37f8-c86d-4b,356,2025-12-01 22:40:52,107.73,utilities,0,32.97,0,1,1,1.029,22,1,1,0
aabe8c09-b9bb-44,236,2025-12-01 22:53:28,509.33,healthcare,0,22.85,0,1,1,1.103,22,0,1,0
3035df3a-6a16-4e,484,2025-12-01 23:03:19,246.38,grocery,0,18.99,1,1,1,0.737,23,0,1,0
6200bd79-d512-46,793,2025-12-01 23:17:28,59.57,pharmacy,0,16.25,1,1,1,1.01,23,0,1,0
a1696f84-722d-44,240,2025-12-01 23:34:07,266.6,healthcare,0,25.49,1,1,1,1.373,23,0,1,0
4b00248a-4f52-48,552,2025-12-01 23:40:50,367.98,pharmacy,0,24.56,1,1,1,1.522,23,0,1,0
edadefd0-ed75-46,586,2025-12-01 23:54:22,207.59,restaurant,0,22.12,0,1,1,0.812,23,0,1,0
485e5bb8-1197-4a,420,2025-12-02 00:05:43,75.35,restaurant,0,28.32,0,1,1,0.167,0,0,1,0
b9df09c2-063f-47,734,2025-12-02 00:20:58,347.45,gas_station,0,32.39,1,1,1,1.068,0,0,1,0
e5a9bc54-cd77-4f,611,2025-12-02 00:39:47,48.15,restaurant,0,18.52,0,1,1,0.6,0,0,1,0
1b0cc6a8-3cb4-40,280,2025-12-02 00:52:09,264.97,restaurant,0,12.62,1,1,1,0.983,0,0,0,0
2b8d81b3-24b2-41,525,2025-12-02 01:05:09,759.49,restaurant,0,12.88,0,1,1,1.541,1,0,1,0
919ad364-999c-42,815,2025-12-02 01:17:17,727.72,grocery,0,13.49,1,1,1,1.531,1,0,1,0
89530357-981f-40,572,2025-12-02 01:23:10,85.17,utilities,0,10.14,1,1,1,0.294,1,0,1,0
2285dcee-a555-4d,832,2025-12-02 01:36:55,60.96,grocery,0,32.67,0,1,1,1.731,1,1,1,0
a71f3f47-ee84-42,827,2025-12-02 01:53:01,103.68,utilities,0,24.23,1,1,1,1.394,1,1,0,0
1ff81fcb-cbc0-47,219,2025-12-02 02:09:26,115.01,pharmacy,0,23.99,1,1,1,1.062,2,0,1,0
153bb8e5-c939-49,324,2025-12-02 02:22:21,352.9,pharmacy,0,11.81,0,1,1,0.741,2,0,1,0
79b470cd-100e-45,360,2025-12-02 02:35:40,139.54,healthcare,0,1.17,1,1,1,0.885,2,0,1,0
ed1a6510-28db-41,499,2025-12-02 02:44:00,34.88,grocery,0,35.65,1,1,1,1.075,2,0,1,0
58078b32-9003-41,543,2025-12-02 02:54:06,235.95,pharmacy,0,24.72,0,1,1,0.87,2,0,1,0
2823129c-7917-4a,188,2025-12-02 03:10:30,267.44,restaurant,0,29.02,0,1,1,0.753,3,0,1,0
69816c0e-3bf0-42,765,2025-12-02 03:23:46,272.67,restaurant,0,17.92,0,1,1,1.701,3,1,1,0
e9dfe4ee-230e-4a,633,2025-12-02 03:38:32,2992.68,crypto_exchange,0,17.37,0,4,8,9.379,3,4,0,1
da853f84-3a85-47,984,2025-12-02 03:53:50,118.63,grocery,0,30.45,1,1,1,1.677,3,0,1,0
3704fca3-7daf-4a,37,2025-12-02 04:02:34,399.0,clothing,0,26.01,1,1,1,1.652,4,0,1,0
8659874d-822f-4b,300,2025-12-02 04:16:43,211.45,clothing,0,9.89,1,1,1,0.603,4,1,1,0
b811cc7e-e72e-4e,157,2025-12-02 04:30:22,78.17,gas_station,0,19.34,0,1,1,1.236,4,0,1,0
f7769219-5e83-46,599,2025-12-02 04:39:00,241.62,healthcare,0,17.89,1,1,1,0.816,4,0,1,0
8fae0dab-8417-4b,742,2025-12-02 04:57:17,302.88,gas_station,0,18.57,1,1,1,0.621,4,0,1,0
750f6b0b-0a42-40,897,2025-12-02 05:02:56,630.89,healthcare,0,9.92,1,1,1,1.415,5,0,0,0
de28a8bd-5f89-40,693,2025-12-02 05:18:24,346.39,clothing,0,16.99,1,1,1,1.403,5,0,1,0
d0fae115-cc51-45,842,2025-12-02 05:29:00,400.13,utilities,0,2.64,1,1,1,1.349,5,0,1,0
979a6c24-ff26-49,373,2025-12-02 05:47:11,53.87,restaurant,0,27.45,1,1,1,1.25,5,0,0,0
3e174cc0-b819-42,757,2025-12-02 06:00:58,353.09,clothing,0,36.39,1,1,1,0.803,6,0,1,0
9e073600-5f59-43,455,2025-12-02 06:10:17,52.8,healthcare,0,37.45,1,1,1,1.864,6,0,1,0
dab70609-a6e4-42,146,2025-12-02 06:26:30,71.04,grocery,0,25.7,1,1,1,0.146,6,0,1,0
71831844-1b3c-41,270,2025-12-02 06:34:58,47.47,clothing,0,34.07,1,1,1,0.557,6,1,1,0
7365e8c8-8efa-4f,655,2025-12-02 06:52:01,231.88,utilities,0,32.97,1,1,1,0.748,6,0,0,0
2539cba1-87f1-4d,553,2025-12-02 07:03:49,669.62,healthcare,0,11.34,1,1,1,2.253,7,0,0,0
246efdeb-b221-4b,424,2025-12-02 07:13:00,130.1,gas_station,0,11.94,1,1,1,0.411,7,0,1,0
7385130d-8de7-40,8,2025-12-02 07:34:24,427.99,clothing,0,24.91,0,1,1,1.722,7,0,1,0
c698ed67-b0a6-49,955,2025-12-02 07:38:41,146.32,grocery,0,29.17,0,1,1,1.503,7,0,1,0
bbc64d1c-2099-44,376,2025-12-02 07:54:43,35.38,entertainment,0,17.53,1,1,1,1.732,7,0,1,0
b8011180-f6a0-4a,840,2025-12-02 08:08:38,58.29,gas_station,0,29.43,0,1,1,1.639,8,0,1,0
027db97d-d34d-40,817,2025-12-02 08:24:30,60.63,pharmacy,0,38.62,1,1,1,1.39,8,0,0,0
fb5232d3-906b-47,470,2025-12-02 08:36:35,446.13,grocery,0,16.6,1,1,1,1.141,8,0,1,0
cface9fa-307a-44,63,2025-12-02 08:50:51,184.47,entertainment,0,30.92,0,1,1,0.586,8,0,0,0
f9e48cad-85e1-42,609,2025-12-02 09:02:21,646.54,grocery,0,17.75,1,1,1,1.753,9,0,1,0
2d6a9f8c-95ad-4b,65,2025-12-02 09:15:48,140.03,gas_station,0,18.39,0,1,1,0.511,9,0,1,0
03e7b4bb-7380-42,77,2025-12-02 09:28:22,427.44,utilities,0,32.91,0,1,1,1.679,9,0,0,0
0505912e-10a3-4a,401,2025-12-02 09:44:28,75.93,clothing,0,19.01,1,1,1,0.769,9,0,1,0
8cc8a673-2653-4a,289,2025-12-02 09:53:18,122.46,entertainment,0,28.92,1,1,1,0.25,9,0,1,0
2f253ffa-a8ff-4e,549,2025-12-02 10:09:33,104.39,gas_station,0,35.14,1,1,1,0.919,10,0,1,0
70f70856-f71f-4f,89,2025-12-02 10:22:18,389.32,clothing,0,13.1,1,1,1,1.824,10,0,1,0
acd163b8-2a82-42,887,2025-12-02 10:35:20,466.86,utilities,0,23.4,1,1,1,1.33,10,0,1,0
7be0e842-453f-45,461,2025-12-02 10:41:23,139.04,restaurant,0,13.87,1,1,1,0.811,10,1,1,0
d4730576-0557-41,116,2025-12-02 10:58:51,262.5,gas_station,0,18.21,1,1,1,0.747,10,0,0,0
8863f7bb-7390-4f,482,2025-12-02 11:14:03,225.65,pharmacy,0,19.12,1,1,1,1.242,11,0,1,0
771a1fc7-9044-4e,290,2025-12-02 11:19:02,721.42,gas_station,0,26.98,0,1,1,1.503,11,0,1,0
67840036-cc80-45,576,2025-12-02 11:34:42,241.08,gas_station,0,25.28,1,1,1,1.085,11,0,1,0
738a8eb9-d000-42,424,2025-12-02 11:44:37,708.91,restaurant,0,8.89,0,1,2,2.237,11,0,1,0
f1530419-b48f-4f,419,2025-12-02 11:58:41,103.47,clothing,0,26.09,1,1,1,0.604,11,1,1,0
455714b8-e4d8-4d,675,2025-12-02 12:18:32,57.34,restaurant,0,8.73,1,1,1,0.209,12,0,1,0
c6b23170-545e-41,863,2025-12-02 12:30:06,412.85,pharmacy,0,21.26,0,1,1,1.259,12,0,1,0
2595a928-ccc2-42,806,2025-12-02 12:37:16,160.4,entertainment,0,22.69,1,1,1,2.042,12,0,1,0
5f666ed8-c95d-46,426,2025-12-02 12:54:56,230.17,gas_station,0,39.51,1,1,1,0.91,12,0,1,0
49cff929-c2c0-47,161,2025-12-02 13:04:09,333.51,restaurant,0,7.78,1,1,1,1.637,13,0,1,0
0aecbb54-97ac-4b,422,2025-12-02 13:18:56,109.35,entertainment,0,33.72,1,1,1,1.573,13,1,1,0
012eda6a-a7c7-41,577,2025-12-02 13:38:10,441.87,gas_station,0,30.35,1,1,1,0.9,13,0,1,0
f791e3c9-5586-41,721,2025-12-02 13:47:35,329.8,pharmacy,0,17.05,1,1,1,1.184,13,0,1,0
7512eaf4-6615-48,995,2025-12-02 13:58:47,29.77,grocery,0,30.25,1,1,1,1.182,13,0,1,0
19b3291e-d0a5-4b,812,2025-12-02 14:10:16,14.99,utilities,0,17.07,0,1,1,0.124,14,0,1,0
d5fa6e22-18c5-4c,913,2025-12-02 14:21:59,67.94,gas_station,0,33.92,1,1,1,0.586,14,0,1,0
32a458a8-06df-48,681,2025-12-02 14:40:45,144.03,entertainment,0,31.12,1,1,1,0.617,14,0,1,0
c038cd3f-80dc-46,349,2025-12-02 14:47:46,110.28,restaurant,0,25.03,0,1,1,0.787,14,0,1,0
5191d7b1-3d12-48,144,2025-12-02 15:08:31,7.41,gas_station,0,37.41,1,1,1,0.088,15,0,1,0
be1e864b-159d-4f,577,2025-12-02 15:21:21,650.66,entertainment,0,24.22,0,1,2,1.325,15,0,1,0
6530ebd6-b310-41,569,2025-12-02 15:34:10,391.92,grocery,0,24.87,1,1,1,1.259,15,0,1,0
fe18e994-36e0-4f,277,2025-12-02 15:39:20,262.89,healthcare,0,15.41,0,1,1,0.625,15,0,1,0
040d12b7-477a-40,332,2025-12-02 15:54:06,310.43,utilities,0,26.59,0,1,1,0.866,15,0,1,0
e27c358a-ff80-46,713,2025-12-02 16:09:52,400.54,gas_station,0,29.98,1,1,1,1.195,16,0,0,0
de70f1d9-1d30-46,467,2025-12-02 16:25:20,233.92,pharmacy,0,31.55,1,1,1,1.13,16,0,1,0
88bc56ba-258b-4a,716,2025-12-02 16:31:54,213.93,pharmacy,0,18.56,1,1,1,1.202,16,0,1,0
2ee7014e-f1d2-4e,72,2025-12-02 16:46:52,455.38,gas_station,0,26.28,1,1,1,1.042,16,0,1,0
63b66569-6209-44,464,2025-12-02 17:02:27,5.91,gas_station,0,26.76,1,1,1,0.163,17,0,1,0
ff12a9ed-b0ea-40,16,2025-12-02 17:13:06,425.96,utilities,0,22.44,1,1,1,0.913,17,0,1,0
cbafdda7-6c1c-41,150,2025-12-02 17:24:10,31.36,utilities,0,39.08,1,1,2,0.501,17,1,1,0
a82a44e8-6399-40,589,2025-12-02 17:36:46,241.55,entertainment,0,34.93,0,1,1,0.858,17,1,0,0
f0c502ae-e381-45,310,2025-12-02 17:51:04,26.58,gas_station,0,28.2,1,1,1,0.729,17,0,1,0
afd41987-6b9a-49,793,2025-12-02 18:03:31,99.29,entertainment,0,39.07,0,1,2,1.683,18,0,1,0
f8f1c429-e47a-47,500,2025-12-02 18:15:35,73.66,entertainment,0,38.17,1,1,1,0.311,18,0,1,0
53df24d4-83ca-47,216,2025-12-02 18:26:31,192.12,healthcare,0,28.12,1,1,1,1.101,18,0,1,0
cf000f2e-ce8d-40,399,2025-12-02 18:44:23,97.48,pharmacy,0,13.05,0,1,1,0.958,18,0,1,0
ba6c5aaf-48ff-4e,539,2025-12-02 18:59:34,220.38,utilities,0,7.43,1,1,1,0.78,18,0,1,0
c2977449-6950-49,947,2025-12-02 19:10:49,95.27,utilities,0,24.74,1,1,1,0.405,19,0,0,0
c6867e87-67f1-4c,498,2025-12-02 19:28:02,519.09,healthcare,0,20.6,0,1,1,1.811,19,0,1,0
d2e8ce18-4274-41,613,2025-12-02 19:36:18,142.18,pharmacy,0,25.65,1,1,1,0.688,19,0,0,0
500c4f32-1533-47,940,2025-12-02 19:50:48,272.09,restaurant,0,14.38,1,1,1,1.398,19,0,1,0
800412f5-a9c5-4e,257,2025-12-02 19:59:23,13.25,clothing,0,24.05,1,1,1,0.125,19,0,1,0
e253839d-2c79-40,319,2025-12-02 20:18:58,281.2,utilities,0,31.8,1,1,1,1.325,20,0,1,0
824e0cdb-d1c7-47,803,2025-12-02 20:32:21,509.87,pharmacy,0,20.72,1,1,1,1.636,20,0,1,0
fd99a555-6887-41,442,2025-12-02 20:41:50,68.12,utilities,0,4.92,1,1,1,0.145,20,0,1,0
750540ec-7023-48,550,2025-12-02 20:58:03,157.08,gas_station,0,31.44,1,1,1,1.383,20,0,1,0
17bf57a6-7ae4-47,848,2025-12-02 21:06:55,264.68,utilities,0,8.43,1,1,1,1.018,21,0,1,0
896ffbbd-02e5-44,99,2025-12-02 21:23:43,451.45,restaurant,0,8.82,0,1,1,1.555,21,0,1,0
bcb94dfd-c6e6-46,353,2025-12-02 21:28:17,218.91,healthcare,0,16.4,1,1,1,1.096,21,0,1,0
61a6ae80-6f1c-41,739,2025-12-02 21:41:21,468.42,utilities,0,35.23,1,1,1,0.967,21,0,1,0
ea859797-b5f9-46,708,2025-12-02 21:56:03,345.42,gas_station,0,33.04,1,1,1,0.911,21,0,1,0
9768ac39-956c-4a,942,2025-12-02 22:08:34,108.63,utilities,0,34.86,1,1,1,0.455,22,0,1,0
5ea45829-a6e0-40,310,2025-12-02 22:26:55,56.83,grocery,0,32.71,0,1,2,1.558,22,0,1,0
6941fde9-415c-47,750,2025-12-02 22:32:47,173.19,grocery,0,17.64,1,1,1,1.306,22,0,1,0
3f215566-82de-43,363,2025-12-02 22:53:19,2578.16,jewelry,0,18.15,1,3,3,11.589,22,2,0,1
8d11d7df-f64f-48,120,2025-12-02 23:01:32,469.49,clothing,0,15.29,1,1,1,1.052,23,0,1,0
295c7549-31f6-4d,346,2025-12-02 23:14:17,27.78,utilities,0,31.44,0,1,1,0.64,23,0,1,0
0047d064-9ae4-4b,177,2025-12-02 23:32:39,515.35,pharmacy,0,11.92,1,1,1,1.266,23,0,1,0
3515f7a1-e587-4c,114,2025-12-02 23:39:00,426.46,entertainment,0,31.88,1,1,1,1.16,23,0,1,0
348e9fc9-fa52-46,303,2025-12-02 23:59:44,164.55,utilities,0,20.92,1,1,1,0.493,23,0,1,0
d6c904fa-0e6c-49,846,2025-12-03 00:09:09,552.61,gas_station,0,18.95,1,1,1,1.153,0,0,1,0
f0c35a37-7974-4a,509,2025-12-03 00:17:02,177.41,entertainment,0,26.04,0,1,1,0.535,0,0,1,0
480d6e88-71a5-47,893,2025-12-03 00:37:07,578.26,entertainment,0,37.46,1,1,1,1.377,0,0,1,0
26a1fdc9-4eba-45,575,2025-12-03 00:51:46,47.51,pharmacy,0,24.33,0,1,1,0.142,0,0,1,0
201b9667-0535-40,324,2025-12-03 01:03:36,157.53,clothing,0,23.59,1,1,2,0.331,1,0,1,0
9bbc32db-6fc1-4f,195,2025-12-03 01:15:39,51.43,grocery,0,7.55,1,1,1,0.744,1,0,1,0
810fb46a-cf50-43,453,2025-12-03 01:23:28,484.78,grocery,0,22.04,1,1,1,1.244,1,0,1,0
12a90135-bdae-41,480,2025-12-03 01:35:12,301.19,grocery,0,39.11,1,1,1,1.447,1,0,1,0
56f3fa64-dda9-47,571,2025-12-03 01:54:14,360.06,grocery,0,27.56,1,1,1,1.112,1,0,1,0
981271e1-8ac2-42,698,2025-12-03 02:09:06,231.2,clothing,0,39.82,0,1,1,0.783,2,0,1,0
3e585214-e54c-4d,287,2025-12-03 02:21:54,326.57,pharmacy,0,17.37,1,1,1,1.399,2,0,1,0
783f80db-5689-48,432,2025-12-03 02:31:02,278.93,gas_station,0,12.92,1,1,1,1.33,2,1,0,0
ee55a67c-b0e8-48,744,2025-12-03 02:48:39,376.84,restaurant,0,7.85,0,1,1,1.178,2,0,1,0
bc245cf6-a13e-4d,104,2025-12-03 02:59:10,92.11,entertainment,0,20.32,1,1,1,1.563,2,0,1,0
9df3283f-9e78-40,492,2025-12-03 03:09:33,269.51,utilities,0,34.37,0,1,1,1.302,3,0,1,0
b7d89304-f33e-4b,595,2025-12-03 03:18:49,788.44,gas_station,0,17.48,1,1,1,1.608,3,0,1,0
7116a369-09ed-43,207,2025-12-03 03:31:24,9.77,pharmacy,0,14.33,0,1,1,0.192,3,1,1,0
dfa585f7-24c9-44,411,2025-12-03 03:46:46,139.49,utilities,0,12.08,0,1,1,0.931,3,0,1,0
6868d8be-8b0a-4c,500,2025-12-03 03:59:54,310.73,restaurant,0,19.73,1,1,2,1.312,3,0,1,0
a356414c-c6b0-4c,829,2025-12-03 04:15:35,147.97,clothing,0,26.9,1,1,1,0.849,4,0,1,0
bf29c537-ceb8-46,240,2025-12-03 04:24:26,227.15,pharmacy,0,24.81,1,1,1,1.17,4,0,1,0
b7065639-faac-47,476,2025-12-03 04:38:08,504.26,restaurant,0,13.43,1,1,1,1.638,4,0,1,0
e41f3500-a18e-46,807,2025-12-03 04:50:59,74.79,grocery,0,9.73,1,1,1,0.457,4,1,1,0
4384efdc-f3b0-46,274,2025-12-03 05:06:42,32.77,healthcare,0,40.35,1,1,1,0.149,5,0,0,0
387ff1ac-4d37-42,353,2025-12-03 05:19:42,231.56,clothing,0,28.01,1,1,2,1.159,5,0,1,0
f88b3946-c17b-41,11,2025-12-03 05:32:20,71.21,pharmacy,0,18.64,1,1,1,0.452,5,0,1,0
73be3dcc-4303-4c,278,2025-12-03 05:41:26,280.31,gas_station,0,13.63,0,1,1,1.001,5,0,1,0
687e839c-2af0-44,707,2025-12-03 05:53:30,146.24,restaurant,0,34.32,0,1,1,1.178,5,0,1,0
223e3313-2539-4f,421,2025-12-03 06:09:54,643.46,healthcare,0,19.2,1,1,1,1.746,6,1,1,0
97284ff8-b246-4f,568,2025-12-03 06:20:47,365.74,entertainment,0,12.66,1,1,1,0.789,6,0,1,0
def50303-d725-4b,993,2025-12-03 06:35:33,93.87,entertainment,0,26.48,1,1,1,0.194,6,0,1,0
f4aca4cb-35ea-4e,218,2025-12-03 06:46:03,169.33,utilities,0,31.33,1,1,1,0.432,6,0,1,0
5e2456aa-dbbb-47,658,2025-12-03 07:05:01,352.74,entertainment,0,19.96,1,1,1,0.714,7,1,1,0
5e316765-682d-49,768,2025-12-03 07:16:01,523.02,gas_station,0,15.28,1,1,1,1.879,7,0,1,0
57b7c132-3921-45,487,2025-12-03 07:28:38,201.27,grocery,0,8.6,1,1,1,1.164,7,0,1,0
07e69901-5098-43,564,2025-12-03 07:44:21,168.49,pharmacy,0,34.78,1,1,1,0.37,7,0,1,0
db219710-dbe3-45,772,2025-12-03 07:56:18,89.77,pharmacy,0,22.77,1,1,1,1.0,7,0,1,0
c90a87a5-f895-44,937,2025-12-03 08:10:36,417.13,grocery,0,27.59,1,1,1,1.289,8,0,0,0
a92441a7-730e-4e,482,2025-12-03 08:24:28,214.9,utilities,0,33.37,0,1,2,1.183,8,0,1,0
922f9a66-a6c9-47,790,2025-12-03 08:29:30,25.77,healthcare,0,32.42,1,1,1,1.072,8,0,1,0
788859b7-b7be-4b,735,2025-12-03 08:47:59,32.1,grocery,0,29.89,0,1,1,0.347,8,0,1,0
373323e0-ae3a-49,790,2025-12-03 08:56:22,22.91,healthcare,0,16.47,1,2,2,0.953,8,0,1,0
ee192762-cd2d-47,524,2025-12-03 09:16:09,367.69,clothing,0,11.75,0,1,1,1.214,9,0,1,0
6336f116-571a-42,981,2025-12-03 09:20:37,280.75,restaurant,0,32.5,1,1,1,0.573,9,1,1,0
9fcb104f-c41a-47,92,2025-12-03 09:39:09,70.05,utilities,0,22.9,1,1,1,0.284,9,0,1,0
8af1b2a7-fe97-47,883,2025-12-03 09:47:48,386.04,entertainment,0,11.46,0,1,1,1.133,9,0,1,0
beef45dd-0382-4b,162,2025-12-03 10:08:48,496.15,healthcare,0,25.7,1,1,1,1.75,10,0,0,0
299778b9-5dc9-4f,489,2025-12-03 10:21:59,143.73,grocery,0,29.22,1,1,1,1.093,10,0,1,0
187c154b-34e8-4d,664,2025-12-03 10:32:18,23.36,grocery,0,27.04,0,1,1,0.071,10,0,0,0
dabb7294-6194-42,897,2025-12-03 10:42:21,513.14,restaurant,0,32.29,0,1,1,1.151,10,1,1,0
488896f0-e22c-4e,621,2025-12-03 10:51:54,249.38,utilities,0,29.64,0,1,1,1.176,10,1,1,0
8f6bf4bb-1d10-48,196,2025-12-03 11:06:49,165.39,gas_station,0,30.41,0,1,1,0.825,11,0,1,0
72e6386e-4f07-43,874,2025-12-03 11:25:57,316.06,entertainment,0,0.77,0,1,1,1.315,11,0,0,0
810d8b5c-ab14-44,87,2025-12-03 11:34:02,214.77,healthcare,0,11.66,1,1,1,1.412,11,0,1,0
1817f857-5e16-4e,370,2025-12-03 11:43:30,565.47,restaurant,0,17.07,1,1,1,1.294,11,0,1,0
e805314d-b63b-48,637,2025-12-03 12:04:22,82.23,clothing,0,17.43,1,1,1,0.623,12,1,0,0
35404c88-9598-4c,244,2025-12-03 12:18:40,126.12,entertainment,0,27.22,1,1,1,1.157,12,0,1,0
fc4d8f5c-d55c-46,52,2025-12-03 12:30:02,437.35,entertainment,0,31.01,0,1,1,1.064,12,1,1,0
2f9717a4-8db6-4d,703,2025-12-03 12:37:42,538.27,gas_station,0,8.7,1,1,1,2.287,12,0,0,0
61079e10-462d-4f,887,2025-12-03 12:49:58,110.67,utilities,0,3.16,1,1,1,0.315,12,0,1,0
519cf069-6867-44,252,2025-12-03 13:06:49,829.81,entertainment,0,13.74,1,1,1,1.695,13,0,1,0
3bc06c3e-adee-41,471,2025-12-03 13:15:02,81.48,clothing,0,14.97,1,1,1,1.16,13,0,0,0
bf197e4d-e597-44,554,2025-12-03 13:34:26,368.78,pharmacy,0,39.44,1,1,1,1.163,13,0,1,0
656a44d3-98f2-45,37,2025-12-03 13:39:51,131.32,gas_station,0,31.28,0,1,1,0.544,13,1,1,0
e6f70936-e6cc-4d,530,2025-12-03 13:55:09,510.91,gas_station,0,30.95,1,1,1,1.437,13,1,1,0
bad248ff-b2a4-44,970,2025-12-03 14:11:31,26.73,restaurant,0,29.43,0,1,1,0.155,14,0,1,0
18c08250-eaba-45,992,2025-12-03 14:23:51,77.18,pharmacy,0,21.55,1,1,1,1.348,14,0,1,0
68908b0a-1739-43,760,2025-12-03 14:39:53,121.39,pharmacy,0,25.24,1,1,1,0.708,14,0,1,0
3e7af87a-4037-4d,145,2025-12-03 14:52:12,169.71,restaurant,0,8.86,0,1,1,1.193,14,0,1,0
60f66e70-ac59-49,588,2025-12-03 14:58:54,413.38,gas_station,0,33.47,0,1,1,0.998,14,0,1,0
3aeda7a2-b363-40,324,2025-12-03 15:17:19,78.97,utilities,0,25.74,1,1,2,0.166,15,0,1,0
0af88dfd-8fd8-43,676,2025-12-03 15:24:53,289.32,entertainment,0,18.54,0,1,1,1.191,15,0,1,0
b8f3bfab-c720-41,917,2025-12-03 15:43:38,48.34,healthcare,0,36.39,1,1,1,0.663,15,0,1,0
5c579040-b19d-42,293,2025-12-03 15:55:23,663.79,utilities,0,11.9,1,1,1,1.783,15,0,1,0
517d3742-7b60-4a,176,2025-12-03 16:06:27,214.15,restaurant,0,28.8,1,1,1,1.399,16,0,1,0
1b1f2120-0950-4d,973,2025-12-03 16:15:30,228.91,grocery,0,3.42,1,1,1,0.792,16,0,1,0
ceb7a132-4c4d-44,903,2025-12-03 16:34:06,162.65,gas_station,0,35.82,0,1,1,0.614,16,0,1,0
7cc1e4a4-21c1-48,397,2025-12-03 16:43:35,14.46,clothing,0,9.3,1,1,1,0.375,16,0,1,0
90c4a0f7-df68-4b,878,2025-12-03 16:57:30,233.63,entertainment,0,20.84,0,1,1,1.052,16,0,1,0
57ba4b9d-26f7-4d,46,2025-12-03 17:15:09,374.6,grocery,0,10.88,1,1,1,0.763,17,0,1,0
8aed54e5-ad3f-4e,468,2025-12-03 17:22:17,285.18,gas_station,0,27.5,1,1,1,0.909,17,0,1,0
f23f5386-9f3b-4b,923,2025-12-03 17:37:41,222.85,gas_station,0,25.16,1,1,1,0.608,17,1,1,0
279178ec-1eb7-4f,783,2025-12-03 17:51:49,67.83,jewelry,0,1368.13,0,3,3,2.341,17,4,0,1
8fc62979-421a-47,353,2025-12-03 18:07:41,249.54,restaurant,0,19.97,1,1,3,1.249,18,0,1,0
d27da1f4-2f0b-4e,843,2025-12-03 18:15:29,870.53,clothing,0,35.32,1,1,1,1.847,18,0,1,0
526d87fa-1704-4d,164,2025-12-03 18:32:48,252.39,healthcare,0,21.55,1,1,1,1.16,18,1,1,0
32cd23b5-2640-43,38,2025-12-03 18:47:48,81.53,gas_station,0,30.2,1,1,1,0.168,18,0,1,0
0d531bdc-59ce-4a,662,2025-12-03 18:56:51,181.93,healthcare,0,36.45,1,1,1,1.949,18,0,1,0
17c348fc-ea4a-43,841,2025-12-03 19:11:39,130.58,healthcare,0,33.96,0,1,1,1.03,19,0,0,0
a2750bdd-eac6-47,487,2025-12-03 19:25:37,92.77,restaurant,0,12.01,1,1,2,0.537,19,0,1,0
df57fb82-0a89-4c,459,2025-12-03 19:34:20,557.65,utilities,0,33.85,0,1,1,1.263,19,0,1,0
10f8aaca-e2eb-4d,87,2025-12-03 19:48:41,36.57,gas_station,0,13.94,1,1,2,0.24,19,0,1,0
f6dceec4-d12d-4d,143,2025-12-03 20:02:22,379.78,utilities,0,30.37,1,1,1,1.322,20,0,1,0
3660f450-b941-4a,425,2025-12-03 20:11:36,127.7,utilities,0,13.73,1,1,1,2.035,20,0,1,0
6cca36ca-15b0-41,765,2025-12-03 20:24:52,123.0,healthcare,0,23.33,0,1,1,0.768,20,0,1,0
0d5cfc6d-d832-41,491,2025-12-03 20:36:11,239.17,healthcare,0,16.27,1,1,1,0.758,20,1,1,0
9573ddf3-bf6d-44,561,2025-12-03 20:49:50,475.0,clothing,0,28.17,0,1,1,1.458,20,0,1,0
ce83afaa-4fbe-4e,556,2025-12-03 21:01:48,337.39,restaurant,0,26.08,0,1,1,2.0,21,0,1,0
