amount,log_amount,amount_vs_user_avg,is_high_amount,is_very_high_amount,is_extreme_amount,transactions_last_1h,transactions_last_24h,is_velocity_spike_1h,is_velocity_spike_24h,velocity_ratio,distance_from_home_km,is_international,distance_risk,international_far,hour_of_day,day_of_week,is_late_night,is_business_hours,is_weekend,card_present,merchant_risk_score,is_high_risk_merchant,online_international,failed_attempts,has_failed_attempts,many_failed_attempts,device_match,unknown_device,manual_risk_score,is_fraud
125.24,4.838184857097564,0.918,0,0,0,1,1,0,0,24.0,28.93,0,1,0,20,0,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
67.48,4.226541731833486,1.077,0,0,0,1,1,0,0,24.0,23.14,0,1,0,20,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
26.55,3.3160025355989236,0.718,0,0,0,1,1,0,0,24.0,20.16,0,1,0,21,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
16.34,2.853015971352396,0.592,0,0,0,1,1,0,0,24.0,31.18,0,1,0,21,0,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
605.01,6.406896487583329,1.737,1,0,0,1,1,0,0,24.0,9.89,0,0,0,21,0,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
106.99,4.682038630244668,0.238,0,0,0,1,1,0,0,24.0,16.82,0,1,0,21,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
604.25,6.405641595818168,1.248,1,0,0,1,1,0,0,24.0,27.97,0,1,0,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
375.75,5.931581837506605,1.023,0,0,0,1,1,0,0,24.0,25.83,0,1,0,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
21.21,3.100542637906336,0.189,0,0,0,1,1,0,0,24.0,22.37,0,1,0,22,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
107.73,4.6888677450096585,1.029,0,0,0,1,1,0,0,24.0,32.97,0,1,0,22,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,0
509.33,6.235057575289601,1.103,1,0,0,1,1,0,0,24.0,22.85,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
246.38,5.510925615946864,0.737,0,0,0,1,1,0,0,24.0,18.99,0,1,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
59.57,4.103799720992856,1.01,0,0,0,1,1,0,0,24.0,16.25,0,1,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
266.6,5.589493328254074,1.373,0,0,0,1,1,0,0,24.0,25.49,0,1,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
367.98,5.910742442029619,1.522,0,0,0,1,1,0,0,24.0,24.56,0,1,0,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
207.59,5.3403706027790365,0.812,0,0,0,1,1,0,0,24.0,22.12,0,1,0,23,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
75.35,4.335328031664641,0.167,0,0,0,1,1,0,0,24.0,28.32,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
347.45,5.853494747884528,1.068,0,0,0,1,1,0,0,24.0,32.39,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
48.15,3.8948768465931756,0.6,0,0,0,1,1,0,0,24.0,18.52,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
264.97,5.583383520466449,0.983,0,0,0,1,1,0,0,24.0,12.62,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
759.49,6.633962962368977,1.541,1,1,0,1,1,0,0,24.0,12.88,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
727.72,6.591289570436555,1.531,1,1,0,1,1,0,0,24.0,13.49,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
85.17,4.4563220892516755,0.294,0,0,0,1,1,0,0,24.0,10.14,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
60.96,4.1264890155486675,1.731,0,0,0,1,1,0,0,24.0,32.67,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0.0,0
103.68,4.650908077661946,1.394,0,0,0,1,1,0,0,24.0,24.23,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0.0968,0
115.01,4.753676394287315,1.062,0,0,0,1,1,0,0,24.0,23.99,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
352.9,5.869014387351418,0.741,0,0,0,1,1,0,0,24.0,11.81,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
139.54,4.945492145764051,0.885,0,0,0,1,1,0,0,24.0,1.17,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
34.88,3.5801800371905954,1.075,0,0,0,1,1,0,0,24.0,35.65,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
235.95,5.467849148413597,0.87,0,0,0,1,1,0,0,24.0,24.72,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
267.44,5.592627425290039,0.753,0,0,0,1,1,0,0,24.0,29.02,0,1,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
272.67,5.611923000978106,1.701,0,0,0,1,1,0,0,24.0,17.92,0,1,0,3,1,1,0,0,0,1,0,0,1,1,0,1,0,0.129,0
2992.68,8.004258678839932,9.379,1,1,1,4,8,0,0,12.0,17.37,0,1,0,3,1,1,0,0,0,5,1,0,4,1,1,0,1,0.6129,1
118.63,4.784403646182813,1.677,0,0,0,1,1,0,0,24.0,30.45,0,1,0,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
399.0,5.991464547107982,1.652,1,0,0,1,1,0,0,24.0,26.01,0,1,0,4,1,1,0,0,1,2,0,0,0,0,0,1,0,0.129,0
211.45,5.3587066665608205,0.603,0,0,0,1,1,0,0,24.0,9.89,0,0,0,4,1,1,0,0,1,2,0,0,1,1,0,1,0,0.129,0
78.17,4.3715974391833425,1.236,0,0,0,1,1,0,0,24.0,19.34,0,1,0,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
